title,author,isbn,genre,publisher,published_year,pages,description,cover_url,location,available
Telugu Folk Tales 3,Anusha Reddy,9782000000070,Telugu Literature,Little Steps,2016,170,Heroes and tricksters,https://example.com/covers/telugu_folk_3.jpg,Shelf INTG3,true
Punjabi Sufi Poetry 3,Harjit Kaur,9782000000071,Poetry,BlueWave,2017,180,Devotional verses,https://example.com/covers/punjabi_sufi_3.jpg,Shelf INPP3,true
Indian Economics 3,Prof. Raghav Joshi,9782000000072,Economics,Equilibrium,2022,312,Trade and industry,https://example.com/covers/indian_economics_3.jpg,Shelf INECO3,true
Indian Politics 3,Anita Kulkarni,9782000000073,Politics,North Star,2021,292,Federalism and states,https://example.com/covers/indian_politics_3.jpg,Shelf INPOL3,true
Philosophy of India 3,Devika Menon,9782000000074,Philosophy,Shanti Press,2014,274,Logic and rhetoric,https://example.com/covers/indian_philosophy_3.jpg,Shelf INPHI3,true
Bollywood Stories 3,Farhan Ali,9782000000075,Entertainment,Sunfire,2019,248,Music and dance,https://example.com/covers/bollywood_stories_3.jpg,Shelf INBOL3,true
IT in India 3,Shruti Narang,9782000000076,Technology,CodeCraft,2023,356,AI and innovation hubs,https://example.com/covers/it_india_3.jpg,Shelf INTY3,true
Computer Science Guide India 3,Nikhil Gupta,9782000000077,Computer Science,CodeCraft,2023,372,System design basics,https://example.com/covers/cs_india_3.jpg,Shelf INCS3,true
"Matrices and Calculus (A8001)",Vardhaman CSE Faculty,9782100000101,Basic Sciences,Vardhaman Press,2022,320,Course companion for A8001,https://example.com/covers/matrices_calculus_a8001.jpg,Shelf EDU,true
"Engineering Chemistry (A8008)",Vardhaman CSE Faculty,9782100000102,Basic Sciences,Vardhaman Press,2022,300,Course companion for A8008,https://example.com/covers/engg_chemistry_a8008.jpg,Shelf EDU,true
"English for Skill Enhancement (A8010)",Vardhaman CSE Faculty,9782100000103,Humanities,Vardhaman Press,2022,220,Course companion for A8010,https://example.com/covers/english_skill_a8010.jpg,Shelf EDU,true
"Digital Electronics (A8402)",Vardhaman CSE Faculty,9782100000104,Engineering Sciences,Vardhaman Press,2022,320,Course companion for A8402,https://example.com/covers/digital_electronics_a8402.jpg,Shelf EDU,true
"Problem Solving through C (A8501)",Vardhaman CSE Faculty,9782100000105,Engineering Sciences,Vardhaman Press,2022,340,Course companion for A8501,https://example.com/covers/c_programming_a8501.jpg,Shelf EDU,true
"Engineering Chemistry Laboratory (A8009)",Vardhaman CSE Faculty,9782100000106,Basic Sciences,Vardhaman Press,2022,180,Lab manual for A8009,https://example.com/covers/chem_lab_a8009.jpg,Shelf EDU,true
"English Language and Communication Skills Laboratory (A8011)",Vardhaman CSE Faculty,9782100000107,Humanities,Vardhaman Press,2022,180,Lab manual for A8011,https://example.com/covers/english_lab_a8011.jpg,Shelf EDU,true
"Problem Solving through C Laboratory (A8502)",Vardhaman CSE Faculty,9782100000108,Engineering Sciences,Vardhaman Press,2022,180,Lab manual for A8502,https://example.com/covers/c_lab_a8502.jpg,Shelf EDU,true
"Computer Aided Drawing (A8302)",Vardhaman CSE Faculty,9782100000109,Engineering Sciences,Vardhaman Press,2022,220,Course companion for A8302,https://example.com/covers/cad_a8302.jpg,Shelf EDU,true
"Social Innovation (A8021)",Vardhaman CSE Faculty,9782100000110,Engineering Sciences,Vardhaman Press,2022,200,Course companion for A8021,https://example.com/covers/social_innovation_a8021.jpg,Shelf EDU,true
"Ordinary Differential Equations and Vector Calculus (A8002)",Vardhaman CSE Faculty,9782100000111,Basic Sciences,Vardhaman Press,2022,320,Course companion for A8002,https://example.com/covers/ode_vector_calc_a8002.jpg,Shelf EDU,true
"Applied Physics (A8006)",Vardhaman CSE Faculty,9782100000112,Basic Sciences,Vardhaman Press,2022,300,Course companion for A8006,https://example.com/covers/applied_physics_a8006.jpg,Shelf EDU,true
"Basic Electrical Engineering (A8204)",Vardhaman CSE Faculty,9782100000113,Engineering Sciences,Vardhaman Press,2022,280,Course companion for A8204,https://example.com/covers/bee_a8204.jpg,Shelf EDU,true
"Data Structures (A8505)",Vardhaman CSE Faculty,9782100000114,Engineering Sciences,Vardhaman Press,2022,320,Course companion for A8505,https://example.com/covers/data_structures_a8505.jpg,Shelf EDU,true
"Computer Organization (A8506)",Vardhaman CSE Faculty,9782100000115,Engineering Sciences,Vardhaman Press,2022,300,Course companion for A8506,https://example.com/covers/computer_org_a8506.jpg,Shelf EDU,true
"Applied Physics Laboratory (A8007)",Vardhaman CSE Faculty,9782100000116,Basic Sciences,Vardhaman Press,2022,160,Lab manual for A8007,https://example.com/covers/physics_lab_a8007.jpg,Shelf EDU,true
"Basic Electrical Engineering Laboratory (A8205)",Vardhaman CSE Faculty,9782100000117,Engineering Sciences,Vardhaman Press,2022,160,Lab manual for A8205,https://example.com/covers/bee_lab_a8205.jpg,Shelf EDU,true
"Engineering Workshop (A8301)",Vardhaman CSE Faculty,9782100000118,Engineering Sciences,Vardhaman Press,2022,200,Workshop manual for A8301,https://example.com/covers/engg_workshop_a8301.jpg,Shelf EDU,true
"Data Structures Laboratory (A8507)",Vardhaman CSE Faculty,9782100000119,Engineering Sciences,Vardhaman Press,2022,180,Lab manual for A8507,https://example.com/covers/ds_lab_a8507.jpg,Shelf EDU,true
"Python Programming Laboratory (A8508)",Vardhaman CSE Faculty,9782100000120,Engineering Sciences,Vardhaman Press,2022,180,Lab manual for A8508,https://example.com/covers/python_lab_a8508.jpg,Shelf EDU,true
"Engineering Exploration (A8022)",Vardhaman CSE Faculty,9782100000121,Engineering Sciences,Vardhaman Press,2022,200,Project-based learning guide for A8022,https://example.com/covers/engg_exploration_a8022.jpg,Shelf EDU,true
"Business Economics and Financial Analysis (A8013)",Vardhaman CSE Faculty,9782100000122,Humanities,Vardhaman Press,2022,300,Course companion for A8013,https://example.com/covers/befa_a8013.jpg,Shelf EDU,true
"Discrete Mathematical Structures (A8509)",Vardhaman CSE Faculty,9782100000123,Engineering Sciences,Vardhaman Press,2022,320,Course companion for A8509,https://example.com/covers/dms_a8509.jpg,Shelf EDU,true
"Object Oriented Programming (A8601)",Vardhaman CSE Faculty,9782100000124,Professional Core,Vardhaman Press,2022,340,Course companion for A8601,https://example.com/covers/oop_a8601.jpg,Shelf EDU,true
"Operating Systems (A8510)",Vardhaman CSE Faculty,9782100000125,Professional Core,Vardhaman Press,2022,340,Course companion for A8510,https://example.com/covers/os_a8510.jpg,Shelf EDU,true
"Advanced Data Structures (A8511)",Vardhaman CSE Faculty,9782100000126,Professional Core,Vardhaman Press,2022,360,Course companion for A8511,https://example.com/covers/ads_a8511.jpg,Shelf EDU,true
"Object Oriented Programming Laboratory (A8602)",Vardhaman CSE Faculty,9782100000127,Professional Core,Vardhaman Press,2022,180,Lab manual for A8602,https://example.com/covers/oop_lab_a8602.jpg,Shelf EDU,true
"Operating Systems Laboratory (A8512)",Vardhaman CSE Faculty,9782100000128,Professional Core,Vardhaman Press,2022,180,Lab manual for A8512,https://example.com/covers/os_lab_a8512.jpg,Shelf EDU,true
"Advanced Data Structures Laboratory (A8513)",Vardhaman CSE Faculty,9782100000129,Professional Core,Vardhaman Press,2022,180,Lab manual for A8513,https://example.com/covers/ads_lab_a8513.jpg,Shelf EDU,true
"Engineering Design Thinking (A8023)",Vardhaman CSE Faculty,9782100000130,Project/Workshop,Vardhaman Press,2022,200,Project-based guide for A8023,https://example.com/covers/design_thinking_a8023.jpg,Shelf EDU,true
"Environmental Science and Technology (A8032)",Vardhaman CSE Faculty,9782100000131,Mandatory Course,Vardhaman Press,2022,220,Course companion for A8032,https://example.com/covers/evs_a8032.jpg,Shelf EDU,true
"Computer Oriented Statistical Methods (A8005)",Vardhaman CSE Faculty,9782100000132,Basic Sciences,Vardhaman Press,2022,320,Course companion for A8005,https://example.com/covers/cosm_a8005.jpg,Shelf EDU,true
"Database Management Systems (A8514)",Vardhaman CSE Faculty,9782100000133,Engineering Sciences,Vardhaman Press,2022,340,Course companion for A8514,https://example.com/covers/dbms_a8514.jpg,Shelf EDU,true
"Formal Languages and Automata Theory (A8515)",Vardhaman CSE Faculty,9782100000134,Professional Core,Vardhaman Press,2022,320,Course companion for A8515,https://example.com/covers/flat_a8515.jpg,Shelf EDU,true
"Design and Analysis of Algorithms (A8516)",Vardhaman CSE Faculty,9782100000135,Professional Core,Vardhaman Press,2022,340,Course companion for A8516,https://example.com/covers/daa_a8516.jpg,Shelf EDU,true
"Artificial Intelligence (A8702)",Vardhaman CSE Faculty,9782100000136,Professional Core,Vardhaman Press,2022,340,Course companion for A8702,https://example.com/covers/ai_a8702.jpg,Shelf EDU,true
"Database Management Systems Laboratory (A8517)",Vardhaman CSE Faculty,9782100000137,Professional Core,Vardhaman Press,2022,180,Lab manual for A8517,https://example.com/covers/dbms_lab_a8517.jpg,Shelf EDU,true
"Python for Data Analysis (A8518)",Vardhaman CSE Faculty,9782100000138,Professional Core,Vardhaman Press,2022,200,Skill development guide for A8518,https://example.com/covers/python_data_a8518.jpg,Shelf EDU,true
"IoT Laboratory (A8603)",Vardhaman CSE Faculty,9782100000139,Professional Core,Vardhaman Press,2022,180,Lab manual for A8603,https://example.com/covers/iot_lab_a8603.jpg,Shelf EDU,true
"Product Realization (A8024)",Vardhaman CSE Faculty,9782100000140,Project/Workshop,Vardhaman Press,2022,200,Project-based guide for A8024,https://example.com/covers/product_realization_a8024.jpg,Shelf EDU,true
"Gender Sensitization (A8031)",Vardhaman CSE Faculty,9782100000141,Mandatory Course,Vardhaman Press,2022,200,Course companion for A8031,https://example.com/covers/gender_sens_a8031.jpg,Shelf EDU,true
"Universal Human Values 2: Understanding Harmony (A8033)",Vardhaman CSE Faculty,9782100000142,Mandatory Course,Vardhaman Press,2022,220,Course companion for A8033,https://example.com/covers/uhv2_a8033.jpg,Shelf EDU,true
"Computer Networks (A8519)",Vardhaman CSE Faculty,9782100000143,Professional Core,Vardhaman Press,2022,340,Course companion for A8519,https://example.com/covers/cn_a8519.jpg,Shelf EDU,true
"Software Engineering (A8520)",Vardhaman CSE Faculty,9782100000144,Professional Core,Vardhaman Press,2022,340,Course companion for A8520,https://example.com/covers/se_a8520.jpg,Shelf EDU,true
"Web Technologies (A8604)",Vardhaman CSE Faculty,9782100000145,Professional Core,Vardhaman Press,2022,320,Course companion for A8604,https://example.com/covers/webtech_a8604.jpg,Shelf EDU,true
"Machine Learning (A8703)",Vardhaman CSE Faculty,9782100000146,Professional Core,Vardhaman Press,2022,360,Course companion for A8703,https://example.com/covers/ml_a8703.jpg,Shelf EDU,true
"Web Technologies Laboratory (A8605)",Vardhaman CSE Faculty,9782100000147,Professional Core,Vardhaman Press,2022,180,Lab manual for A8605,https://example.com/covers/webtech_lab_a8605.jpg,Shelf EDU,true
"Machine Learning Laboratory (A8704)",Vardhaman CSE Faculty,9782100000148,Professional Core,Vardhaman Press,2022,180,Lab manual for A8704,https://example.com/covers/ml_lab_a8704.jpg,Shelf EDU,true
"Mobile Application Development (A8606)",Vardhaman CSE Faculty,9782100000149,Professional Core,Vardhaman Press,2022,220,Skill development guide for A8606,https://example.com/covers/mobile_dev_a8606.jpg,Shelf EDU,true
"Advanced English Communication Skills Laboratory (A8012)",Vardhaman CSE Faculty,9782100000150,Humanities,Vardhaman Press,2022,160,Lab manual for A8012,https://example.com/covers/aecs_lab_a8012.jpg,Shelf EDU,true
"Research Methodology (A8035)",Vardhaman CSE Faculty,9782100000151,Mandatory Course,Vardhaman Press,2022,220,Course companion for A8035,https://example.com/covers/research_method_a8035.jpg,Shelf EDU,true
"Cloud Computing and Virtualization (A8522)",Vardhaman CSE Faculty,9782100000152,Professional Core,Vardhaman Press,2022,340,Course companion for A8522,https://example.com/covers/cloud_virtualization_a8522.jpg,Shelf EDU,true
"Information Security (A8607)",Vardhaman CSE Faculty,9782100000153,Professional Core,Vardhaman Press,2022,340,Course companion for A8607,https://example.com/covers/infosec_a8607.jpg,Shelf EDU,true
"Compiler Design (A8523)",Vardhaman CSE Faculty,9782100000154,Professional Core,Vardhaman Press,2022,340,Course companion for A8523,https://example.com/covers/compiler_design_a8523.jpg,Shelf EDU,true
"Cloud Computing and Virtualization Laboratory (A8524)",Vardhaman CSE Faculty,9782100000155,Professional Core,Vardhaman Press,2022,180,Lab manual for A8524,https://example.com/covers/cloud_lab_a8524.jpg,Shelf EDU,true
"Network and Information Security Laboratory (A8612)",Vardhaman CSE Faculty,9782100000156,Professional Core,Vardhaman Press,2022,180,Lab manual for A8612,https://example.com/covers/nsl_lab_a8612.jpg,Shelf EDU,true
"RUST Programming (A8525)",Vardhaman CSE Faculty,9782100000157,Professional Core,Vardhaman Press,2022,260,Skill development guide for A8525,https://example.com/covers/rust_programming_a8525.jpg,Shelf EDU,true
"Mini-Project / Internship (A8041)",Vardhaman CSE Faculty,9782100000158,Project/Workshop,Vardhaman Press,2022,160,Guide for A8041,https://example.com/covers/mini_project_a8041.jpg,Shelf EDU,true
"Indian Constitution (A8034)",Vardhaman CSE Faculty,9782100000159,Mandatory Course,Vardhaman Press,2022,200,Course companion for A8034,https://example.com/covers/indian_constitution_a8034.jpg,Shelf EDU,true
"Data Mining (A8526)",Vardhaman CSE Faculty,9782100000160,Professional Core,Vardhaman Press,2022,340,Course companion for A8526,https://example.com/covers/data_mining_a8526.jpg,Shelf EDU,true
"Big Data Analytics (A8806)",Vardhaman CSE Faculty,9782100000161,Professional Core,Vardhaman Press,2022,340,Course companion for A8806,https://example.com/covers/big_data_analytics_a8806.jpg,Shelf EDU,true
"Data Mining Laboratory (A8528)",Vardhaman CSE Faculty,9782100000162,Professional Core,Vardhaman Press,2022,180,Lab manual for A8528,https://example.com/covers/data_mining_lab_a8528.jpg,Shelf EDU,true
"Big Data Analytics Laboratory (A8807)",Vardhaman CSE Faculty,9782100000163,Professional Core,Vardhaman Press,2022,180,Lab manual for A8807,https://example.com/covers/bda_lab_a8807.jpg,Shelf EDU,true
"Project Work Phase – I (A8042)",Vardhaman CSE Faculty,9782100000164,Project/Workshop,Vardhaman Press,2022,240,Project guide for A8042,https://example.com/covers/project_phase1_a8042.jpg,Shelf EDU,true
"Project Work Phase – II (A8043)",Vardhaman CSE Faculty,9782100000165,Project/Workshop,Vardhaman Press,2022,360,Project guide for A8043,https://example.com/covers/project_phase2_a8043.jpg,Shelf EDU,true
"Ethical Hacking (A8651)",Vardhaman CSE Faculty,9782100000166,Professional Elective,Vardhaman Press,2022,300,Course companion for A8651,https://example.com/covers/ethical_hacking_a8651.jpg,Shelf EDU,true
"Data Science for Engineers (A8851)",Vardhaman CSE Faculty,9782100000167,Professional Elective,Vardhaman Press,2022,320,Course companion for A8851,https://example.com/covers/ds_engineers_a8851.jpg,Shelf EDU,true
"Advanced Computer Architecture (A8551)",Vardhaman CSE Faculty,9782100000168,Professional Elective,Vardhaman Press,2022,320,Course companion for A8551,https://example.com/covers/aca_a8551.jpg,Shelf EDU,true
"Unified Modeling Language (A8557)",Vardhaman CSE Faculty,9782100000169,Professional Elective,Vardhaman Press,2022,280,Course companion for A8557,https://example.com/covers/uml_a8557.jpg,Shelf EDU,true
"Cyber Security (A8652)",Vardhaman CSE Faculty,9782100000170,Professional Elective,Vardhaman Press,2022,300,Course companion for A8652,https://example.com/covers/cyber_security_a8652.jpg,Shelf EDU,true
"Data Analytics (A8804)",Vardhaman CSE Faculty,9782100000171,Professional Elective,Vardhaman Press,2022,320,Course companion for A8804,https://example.com/covers/data_analytics_a8804.jpg,Shelf EDU,true
"Parallel Computing (A8552)",Vardhaman CSE Faculty,9782100000172,Professional Elective,Vardhaman Press,2022,320,Course companion for A8552,https://example.com/covers/parallel_computing_a8552.jpg,Shelf EDU,true
"Agile Project Management (A8558)",Vardhaman CSE Faculty,9782100000173,Professional Elective,Vardhaman Press,2022,280,Course companion for A8558,https://example.com/covers/agile_pm_a8558.jpg,Shelf EDU,true
"Web and Database Security (A8653)",Vardhaman CSE Faculty,9782100000174,Professional Elective,Vardhaman Press,2022,300,Course companion for A8653,https://example.com/covers/web_db_security_a8653.jpg,Shelf EDU,true
"Deep Learning (A8707)",Vardhaman CSE Faculty,9782100000175,Professional Elective,Vardhaman Press,2022,340,Course companion for A8707,https://example.com/covers/deep_learning_a8707.jpg,Shelf EDU,true
"Grid Computing (A8553)",Vardhaman CSE Faculty,9782100000176,Professional Elective,Vardhaman Press,2022,300,Course companion for A8553,https://example.com/covers/grid_computing_a8553.jpg,Shelf EDU,true
"Software Testing Methodologies (A8559)",Vardhaman CSE Faculty,9782100000177,Professional Elective,Vardhaman Press,2022,300,Course companion for A8559,https://example.com/covers/stm_a8559.jpg,Shelf EDU,true
"Cloud Security (A8654)",Vardhaman CSE Faculty,9782100000178,Professional Elective,Vardhaman Press,2022,300,Course companion for A8654,https://example.com/covers/cloud_security_a8654.jpg,Shelf EDU,true
"Natural Language Processing (A8706)",Vardhaman CSE Faculty,9782100000179,Professional Elective,Vardhaman Press,2022,320,Course companion for A8706,https://example.com/covers/nlp_a8706.jpg,Shelf EDU,true
"Serverless Computing (A8554)",Vardhaman CSE Faculty,9782100000180,Professional Elective,Vardhaman Press,2022,300,Course companion for A8554,https://example.com/covers/serverless_a8554.jpg,Shelf EDU,true
"Design Patterns (A8560)",Vardhaman CSE Faculty,9782100000181,Professional Elective,Vardhaman Press,2022,320,Course companion for A8560,https://example.com/covers/design_patterns_a8560.jpg,Shelf EDU,true
"IoT Security (A8655)",Vardhaman CSE Faculty,9782100000182,Professional Elective,Vardhaman Press,2022,300,Course companion for A8655,https://example.com/covers/iot_security_a8655.jpg,Shelf EDU,true
"Web and Social Media Analytics (A8856)",Vardhaman CSE Faculty,9782100000183,Professional Elective,Vardhaman Press,2022,320,Course companion for A8856,https://example.com/covers/wsma_a8856.jpg,Shelf EDU,true
"Edge Computing (A8555)",Vardhaman CSE Faculty,9782100000184,Professional Elective,Vardhaman Press,2022,300,Course companion for A8555,https://example.com/covers/edge_computing_a8555.jpg,Shelf EDU,true
"Software Architectures (A8561)",Vardhaman CSE Faculty,9782100000185,Professional Elective,Vardhaman Press,2022,320,Course companion for A8561,https://example.com/covers/software_arch_a8561.jpg,Shelf EDU,true
"Blockchain Technology (A8656)",Vardhaman CSE Faculty,9782100000186,Professional Elective,Vardhaman Press,2022,320,Course companion for A8656,https://example.com/covers/blockchain_a8656.jpg,Shelf EDU,true
"Optimization Techniques for Analytics (A8853)",Vardhaman CSE Faculty,9782100000187,Professional Elective,Vardhaman Press,2022,320,Course companion for A8853,https://example.com/covers/optimization_analytics_a8853.jpg,Shelf EDU,true
"Quantum Computing (A8556)",Vardhaman CSE Faculty,9782100000188,Professional Elective,Vardhaman Press,2022,320,Course companion for A8556,https://example.com/covers/quantum_computing_a8556.jpg,Shelf EDU,true
"Software Process and Project Management (A8562)",Vardhaman CSE Faculty,9782100000189,Professional Elective,Vardhaman Press,2022,320,Course companion for A8562,https://example.com/covers/sppm_a8562.jpg,Shelf EDU,true
"Smart Cities (A8181)",Vardhaman CSE Faculty,9782100000190,Open Elective,Vardhaman Press,2022,260,Open elective companion for A8181,https://example.com/covers/smart_cities_a8181.jpg,Shelf EDU,true
"Disaster Management (A8182)",Vardhaman CSE Faculty,9782100000191,Open Elective,Vardhaman Press,2022,260,Open elective companion for A8182,https://example.com/covers/disaster_mgmt_a8182.jpg,Shelf EDU,true
"Environmental Pollution Management (A8183)",Vardhaman CSE Faculty,9782100000192,Open Elective,Vardhaman Press,2022,260,Open elective companion for A8183,https://example.com/covers/epm_a8183.jpg,Shelf EDU,true
"Green Building and Sustainability (A8155)",Vardhaman CSE Faculty,9782100000193,Open Elective,Vardhaman Press,2022,260,Open elective companion for A8155,https://example.com/covers/green_building_a8155.jpg,Shelf EDU,true
"Electric Vehicles (A8224)",Vardhaman CSE Faculty,9782100000194,Open Elective,Vardhaman Press,2022,260,Open elective companion for A8224,https://example.com/covers/ev_a8224.jpg,Shelf EDU,true
"Solar Energy and Applications (A8281)",Vardhaman CSE Faculty,9782100000195,Open Elective,Vardhaman Press,2022,260,Open elective companion for A8281,https://example.com/covers/solar_energy_a8281.jpg,Shelf EDU,true
"Energy Storage Systems (A8282)",Vardhaman CSE Faculty,9782100000196,Open Elective,Vardhaman Press,2022,260,Open elective companion for A8282,https://example.com/covers/energy_storage_a8282.jpg,Shelf EDU,true
"Power Generation Systems (A8283)",Vardhaman CSE Faculty,9782100000197,Open Elective,Vardhaman Press,2022,260,Open elective companion for A8283,https://example.com/covers/power_generation_a8283.jpg,Shelf EDU,true
"Hybrid Vehicles (A8381)",Vardhaman CSE Faculty,9782100000198,Open Elective,Vardhaman Press,2022,260,Open elective companion for A8381,https://example.com/covers/hybrid_vehicles_a8381.jpg,Shelf EDU,true
"Fundamentals of Robotics (A8382)",Vardhaman CSE Faculty,9782100000199,Open Elective,Vardhaman Press,2022,260,Open elective companion for A8382,https://example.com/covers/robotics_a8382.jpg,Shelf EDU,true
"3D Printing (A8383)",Vardhaman CSE Faculty,9782100000200,Open Elective,Vardhaman Press,2022,260,Open elective companion for A8383,https://example.com/covers/3d_printing_a8383.jpg,Shelf EDU,true
"Digital Electronics (A8402 OE)",Vardhaman CSE Faculty,9782100000201,Open Elective,Vardhaman Press,2022,260,Open elective companion for A8402,https://example.com/covers/digital_electronics_oe_a8402.jpg,Shelf EDU,true
"Basic Electronics (A8481)",Vardhaman CSE Faculty,9782100000202,Open Elective,Vardhaman Press,2022,260,Open elective companion for A8481,https://example.com/covers/basic_electronics_a8481.jpg,Shelf EDU,true
"Principles of Communication Engineering (A8482)",Vardhaman CSE Faculty,9782100000203,Open Elective,Vardhaman Press,2022,260,Open elective companion for A8482,https://example.com/covers/pce_a8482.jpg,Shelf EDU,true
"Fundamentals of IoT (A8483)",Vardhaman CSE Faculty,9782100000204,Open Elective,Vardhaman Press,2022,260,Open elective companion for A8483,https://example.com/covers/foi_a8483.jpg,Shelf EDU,true
"Introduction to Embedded Systems (A8484)",Vardhaman CSE Faculty,9782100000205,Open Elective,Vardhaman Press,2022,260,Open elective companion for A8484,https://example.com/covers/embedded_intro_a8484.jpg,Shelf EDU,true
"Operating Systems (A8510 OE)",Vardhaman CSE Faculty,9782100000206,Open Elective,Vardhaman Press,2022,260,Open elective companion for A8510,https://example.com/covers/os_oe_a8510.jpg,Shelf EDU,true
"Database Management Systems (A8514 OE)",Vardhaman CSE Faculty,9782100000207,Open Elective,Vardhaman Press,2022,260,Open elective companion for A8514,https://example.com/covers/dbms_oe_a8514.jpg,Shelf EDU,true
"Software Engineering (A8520 OE)",Vardhaman CSE Faculty,9782100000208,Open Elective,Vardhaman Press,2022,260,Open elective companion for A8520,https://example.com/covers/se_oe_a8520.jpg,Shelf EDU,true
"Information Security (A8607 OE)",Vardhaman CSE Faculty,9782100000209,Open Elective,Vardhaman Press,2022,260,Open elective companion for A8607,https://example.com/covers/infosec_oe_a8607.jpg,Shelf EDU,true
"Java Programming (A8608)",Vardhaman CSE Faculty,9782100000210,Open Elective,Vardhaman Press,2022,260,Open elective companion for A8608,https://example.com/covers/java_prog_a8608.jpg,Shelf EDU,true
"Ethical Hacking (A8651 OE)",Vardhaman CSE Faculty,9782100000211,Open Elective,Vardhaman Press,2022,260,Open elective companion for A8651,https://example.com/covers/ethical_hacking_oe_a8651.jpg,Shelf EDU,true
"Cyber Security (A8652 OE)",Vardhaman CSE Faculty,9782100000212,Open Elective,Vardhaman Press,2022,260,Open elective companion for A8652,https://example.com/covers/cyber_security_oe_a8652.jpg,Shelf EDU,true
"Blockchain Technology (A8656 OE)",Vardhaman CSE Faculty,9782100000213,Open Elective,Vardhaman Press,2022,260,Open elective companion for A8656,https://example.com/covers/blockchain_oe_a8656.jpg,Shelf EDU,true
"Robotic Process Automation (A8658)",Vardhaman CSE Faculty,9782100000214,Open Elective,Vardhaman Press,2022,260,Open elective companion for A8658,https://example.com/covers/rpa_a8658.jpg,Shelf EDU,true
"E-Commerce (A8681)",Vardhaman CSE Faculty,9782100000215,Open Elective,Vardhaman Press,2022,260,Open elective companion for A8681,https://example.com/covers/ecommerce_a8681.jpg,Shelf EDU,true
"Full Stack Development (A8682)",Vardhaman CSE Faculty,9782100000216,Open Elective,Vardhaman Press,2022,260,Open elective companion for A8682,https://example.com/covers/fullstack_a8682.jpg,Shelf EDU,true
"Artificial Intelligence (A8702 OE)",Vardhaman CSE Faculty,9782100000217,Open Elective,Vardhaman Press,2022,260,Open elective companion for A8702,https://example.com/covers/ai_oe_a8702.jpg,Shelf EDU,true
"Computer Organization and Architecture (A8781)",Vardhaman CSE Faculty,9782100000218,Open Elective,Vardhaman Press,2022,260,Open elective companion for A8781,https://example.com/covers/coa_a8781.jpg,Shelf EDU,true
"Data Science for Engineers (A8851 OE)",Vardhaman CSE Faculty,9782100000219,Open Elective,Vardhaman Press,2022,260,Open elective companion for A8851,https://example.com/covers/ds_engineers_oe_a8851.jpg,Shelf EDU,true
"Mathematical Programming (A8081)",Vardhaman CSE Faculty,9782100000220,Open Elective,Vardhaman Press,2022,260,Open elective companion for A8081,https://example.com/covers/math_prog_a8081.jpg,Shelf EDU,true
"Transform Calculus (A8082)",Vardhaman CSE Faculty,9782100000221,Open Elective,Vardhaman Press,2022,260,Open elective companion for A8082,https://example.com/covers/transform_calc_a8082.jpg,Shelf EDU,true
"Numerical Techniques (A8083)",Vardhaman CSE Faculty,9782100000222,Open Elective,Vardhaman Press,2022,260,Open elective companion for A8083,https://example.com/covers/numerical_tech_a8083.jpg,Shelf EDU,true
"Entrepreneurship Development (A8084)",Vardhaman CSE Faculty,9782100000223,Open Elective,Vardhaman Press,2022,260,Open elective companion for A8084,https://example.com/covers/entrepreneurship_a8084.jpg,Shelf EDU,true
"Logistics and Supply Chain Management (A8085)",Vardhaman CSE Faculty,9782100000224,Open Elective,Vardhaman Press,2022,260,Open elective companion for A8085,https://example.com/covers/lscm_a8085.jpg,Shelf EDU,true
"Management Science (A8086)",Vardhaman CSE Faculty,9782100000225,Open Elective,Vardhaman Press,2022,260,Open elective companion for A8086,https://example.com/covers/management_science_a8086.jpg,Shelf EDU,true
"Human Resource Management (A8087)",Vardhaman CSE Faculty,9782100000226,Open Elective,Vardhaman Press,2022,260,Open elective companion for A8087,https://example.com/covers/hrm_a8087.jpg,Shelf EDU,true
"Organizational Behaviour (A8088)",Vardhaman CSE Faculty,9782100000227,Open Elective,Vardhaman Press,2022,260,Open elective companion for A8088,https://example.com/covers/organizational_behaviour_a8088.jpg,Shelf EDU,true
"Intellectual Property Rights (A8089)",Vardhaman CSE Faculty,9782100000228,Open Elective,Vardhaman Press,2022,260,Open elective companion for A8089,https://example.com/covers/ipr_a8089.jpg,Shelf EDU,true
"Professional Practice, Law & Ethics (A8090)",Vardhaman CSE Faculty,9782100000229,Open Elective,Vardhaman Press,2022,260,Open elective companion for A8090,https://example.com/covers/pple_a8090.jpg,Shelf EDU,true
"National Cadet Corps (NCC) (A8091)",Vardhaman CSE Faculty,9782100000230,Open Elective,Vardhaman Press,2022,200,Open elective companion for A8091,https://example.com/covers/ncc_a8091.jpg,Shelf EDU,true
